ts,o,h,l,c,fiat
2011-09-02 00:00:00,7.697,7.697,7.612,7.697,AUD
2011-09-03 00:00:00,7.697,7.871,7.697,7.871,AUD
2011-09-04 00:00:00,7.871,7.871,7.515,7.515,AUD
2011-09-05 00:00:00,7.515,7.59,7.164,7.174,AUD
2011-09-06 00:00:00,7.174,7.174,6.2,6.659,AUD
2011-09-07 00:00:00,6.659,6.939,6.506,6.939,AUD
2011-09-08 00:00:00,6.939,6.939,6.179,6.179,AUD
2011-09-09 00:00:00,6.179,6.28,4.638,4.677,AUD
2011-09-10 00:00:00,4.677,4.93,4.573,4.93,AUD
2011-09-11 00:00:00,4.93,4.93,4.435,4.661,AUD
2011-09-12 00:00:00,4.661,6.163,4.661,6.006,AUD
2011-09-13 00:00:00,6.006,6.006,5.7,5.7,AUD
2011-09-14 00:00:00,5.7,5.7,5.389,5.389,AUD
2011-09-15 00:00:00,5.389,5.603,4.717,4.717,AUD
2011-09-16 00:00:00,4.717,4.845,4.495,4.495,AUD
2011-09-17 00:00:00,4.495,4.495,4.495,4.495,AUD
2011-09-18 00:00:00,4.495,4.803,4.489,4.803,AUD
2011-09-19 00:00:00,4.803,5.39,4.803,5.193,AUD
2011-09-20 00:00:00,5.193,6.024,5.193,6.024,AUD
2011-09-21 00:00:00,6.024,6.024,5.0,5.0,AUD
2011-09-22 00:00:00,5.0,5.673,5.0,5.673,AUD
2011-09-23 00:00:00,5.673,5.73,5.648,5.73,AUD
2011-09-24 00:00:00,5.73,5.73,5.73,5.73,AUD
2011-09-25 00:00:00,5.73,5.739,5.73,5.739,AUD
2011-09-26 00:00:00,5.739,5.739,5.05,5.05,AUD
2011-09-27 00:00:00,5.05,5.364,4.979,4.979,AUD
2011-09-28 00:00:00,4.979,4.979,4.979,4.979,AUD
2011-09-29 00:00:00,4.979,4.979,4.951,4.962,AUD
2011-09-30 00:00:00,4.962,5.058,4.962,5.058,AUD
2011-10-01 00:00:00,5.058,5.4,5.058,5.391,AUD
2011-10-02 00:00:00,5.391,5.391,5.261,5.261,AUD
2011-10-03 00:00:00,5.261,5.261,5.261,5.261,AUD
2011-10-04 00:00:00,5.261,5.3,5.21,5.22,AUD
2011-10-05 00:00:00,5.22,5.36,5.22,5.36,AUD
2011-10-06 00:00:00,5.36,5.36,4.818,4.98,AUD
2011-10-07 00:00:00,4.98,4.98,4.6,4.6,AUD
2011-10-08 00:00:00,4.6,4.6,4.029,4.029,AUD
2011-10-09 00:00:00,4.029,4.34,4.029,4.153,AUD
2011-10-10 00:00:00,4.153,4.384,4.153,4.304,AUD
2011-10-11 00:00:00,4.304,4.304,3.95,4.063,AUD
2011-10-12 00:00:00,4.063,4.092,4.063,4.092,AUD
2011-10-13 00:00:00,4.092,4.25,4.084,4.1,AUD
2011-10-14 00:00:00,4.1,4.1,4.0,4.0,AUD
2011-10-15 00:00:00,4.0,4.0,3.75,3.75,AUD
2011-10-16 00:00:00,3.75,3.75,3.75,3.75,AUD
2011-10-17 00:00:00,3.75,3.75,2.5,2.5,AUD
2011-10-18 00:00:00,2.5,2.762,2.404,2.404,AUD
2011-10-19 00:00:00,2.404,2.404,2.383,2.403,AUD
2011-10-20 00:00:00,2.403,2.403,2.31,2.374,AUD
2011-10-21 00:00:00,2.374,2.374,2.374,2.374,AUD
2011-10-22 00:00:00,2.374,2.374,2.374,2.374,AUD
2011-10-23 00:00:00,2.374,3.175,2.374,3.175,AUD
2011-10-24 00:00:00,3.175,3.175,2.8,2.8,AUD
2011-10-25 00:00:00,2.8,2.8,2.641,2.653,AUD
2011-10-26 00:00:00,2.653,2.682,2.653,2.682,AUD
2011-10-27 00:00:00,2.682,2.779,2.682,2.779,AUD
2011-10-28 00:00:00,2.779,2.779,2.779,2.779,AUD
2011-10-29 00:00:00,2.779,3.554,2.779,3.554,AUD
2011-10-30 00:00:00,3.554,3.554,3.414,3.459,AUD
2011-10-31 00:00:00,3.459,3.459,3.001,3.001,AUD
2011-11-01 00:00:00,3.001,3.177,3.001,3.177,AUD
2011-11-02 00:00:00,3.177,3.212,3.05,3.108,AUD
2011-11-03 00:00:00,3.108,3.108,3.108,3.108,AUD
2011-11-04 00:00:00,3.108,3.147,2.978,2.978,AUD
2011-11-05 00:00:00,2.978,2.978,2.978,2.978,AUD
2011-11-06 00:00:00,2.978,2.978,2.904,2.904,AUD
2011-11-07 00:00:00,2.904,2.942,2.904,2.942,AUD
2011-11-08 00:00:00,2.942,3.066,2.942,3.06,AUD
2011-11-09 00:00:00,3.06,3.07,2.906,2.906,AUD
2011-11-10 00:00:00,2.906,2.906,2.85,2.85,AUD
2011-11-11 00:00:00,2.85,2.895,2.85,2.895,AUD
2011-11-12 00:00:00,2.895,2.895,2.895,2.895,AUD
2011-11-13 00:00:00,2.895,2.895,2.895,2.895,AUD
2011-11-14 00:00:00,2.895,3.02,2.532,2.532,AUD
2011-11-15 00:00:00,2.532,2.532,2.299,2.384,AUD
2011-11-16 00:00:00,2.384,2.419,2.384,2.419,AUD
2011-11-17 00:00:00,2.419,2.542,2.15,2.228,AUD
2011-11-18 00:00:00,2.228,2.294,2.089,2.089,AUD
2011-11-19 00:00:00,2.089,2.254,2.069,2.254,AUD
2011-11-20 00:00:00,2.254,2.254,2.254,2.254,AUD
2011-11-21 00:00:00,2.254,2.292,2.254,2.292,AUD
2011-11-22 00:00:00,2.292,2.41,2.292,2.41,AUD
2011-11-23 00:00:00,2.41,2.44,2.38,2.4,AUD
2011-11-24 00:00:00,2.4,2.562,2.4,2.562,AUD
2011-11-25 00:00:00,2.562,2.562,2.51,2.561,AUD
2011-11-26 00:00:00,2.561,2.633,2.561,2.619,AUD
2011-11-27 00:00:00,2.619,2.619,2.573,2.573,AUD
2011-11-28 00:00:00,2.573,2.679,2.573,2.679,AUD
2011-11-29 00:00:00,2.679,3.0,2.679,2.894,AUD
2011-11-30 00:00:00,2.894,2.941,2.817,2.842,AUD
2011-12-01 00:00:00,2.842,3.023,2.842,3.023,AUD
2011-12-02 00:00:00,3.023,3.119,3.023,3.114,AUD
2011-12-03 00:00:00,3.114,3.114,2.85,2.85,AUD
2011-12-04 00:00:00,2.85,2.85,2.619,2.619,AUD
2011-12-05 00:00:00,2.619,2.896,2.619,2.884,AUD
2011-12-06 00:00:00,2.884,2.994,2.848,2.938,AUD
2011-12-07 00:00:00,2.938,3.013,2.938,2.938,AUD
2011-12-08 00:00:00,2.938,2.99,2.863,2.95,AUD
2011-12-09 00:00:00,2.95,3.014,2.918,2.918,AUD
2011-12-10 00:00:00,2.918,3.069,2.918,3.069,AUD
2011-12-11 00:00:00,3.069,3.235,3.067,3.235,AUD
2011-12-12 00:00:00,3.235,3.284,3.164,3.164,AUD
2011-12-13 00:00:00,3.164,3.274,3.164,3.274,AUD
2011-12-14 00:00:00,3.274,3.274,3.04,3.087,AUD
2011-12-15 00:00:00,3.087,3.277,3.087,3.09,AUD
2011-12-16 00:00:00,3.09,3.3,3.09,3.258,AUD
2011-12-17 00:00:00,3.258,3.26,3.253,3.26,AUD
2011-12-18 00:00:00,3.26,3.279,3.26,3.279,AUD
2011-12-19 00:00:00,3.279,3.5,3.279,3.5,AUD
2011-12-20 00:00:00,3.5,4.136,3.5,4.004,AUD
2011-12-21 00:00:00,4.004,4.051,4.004,4.051,AUD
2011-12-22 00:00:00,4.051,4.051,3.91,3.91,AUD
2011-12-23 00:00:00,3.91,3.91,3.91,3.91,AUD
2011-12-24 00:00:00,3.91,3.91,3.91,3.91,AUD
2011-12-25 00:00:00,3.91,3.98,3.857,3.98,AUD
2011-12-26 00:00:00,3.98,3.98,3.942,3.942,AUD
2011-12-27 00:00:00,3.942,4.089,3.942,3.99,AUD
2011-12-28 00:00:00,3.99,4.166,3.99,4.166,AUD
2011-12-29 00:00:00,4.166,4.256,4.166,4.256,AUD
2011-12-30 00:00:00,4.256,4.275,4.18,4.275,AUD
2011-12-31 00:00:00,4.275,4.275,4.275,4.275,AUD
2012-01-01 00:00:00,4.275,4.85,4.275,4.85,AUD
2012-01-02 00:00:00,4.85,5.163,4.85,5.12,AUD
2012-01-03 00:00:00,5.12,5.147,5.12,5.147,AUD
2012-01-04 00:00:00,5.147,5.147,4.87,4.905,AUD
2012-01-05 00:00:00,4.905,6.842,4.905,6.842,AUD
2012-01-06 00:00:00,6.842,7.112,6.3,6.3,AUD
2012-01-07 00:00:00,6.3,6.3,6.3,6.3,AUD
2012-01-08 00:00:00,6.3,6.3,6.3,6.3,AUD
2012-01-09 00:00:00,6.3,6.954,6.3,6.954,AUD
2012-01-10 00:00:00,6.954,6.954,6.2,6.3,AUD
2012-01-11 00:00:00,6.3,6.79,6.28,6.79,AUD
2012-01-12 00:00:00,6.79,6.79,6.37,6.37,AUD
2012-01-13 00:00:00,6.37,6.733,6.37,6.529,AUD
2012-01-14 00:00:00,6.529,6.529,6.249,6.41,AUD
2012-01-15 00:00:00,6.41,6.41,6.41,6.41,AUD
2012-01-16 00:00:00,6.41,6.938,6.333,6.357,AUD
2012-01-17 00:00:00,6.357,6.52,5.15,5.15,AUD
2012-01-18 00:00:00,5.15,6.05,5.15,5.708,AUD
2012-01-19 00:00:00,5.708,6.237,5.708,6.237,AUD
2012-01-20 00:00:00,6.237,6.394,6.077,6.394,AUD
2012-01-21 00:00:00,6.394,6.394,6.394,6.394,AUD
2012-01-22 00:00:00,6.394,6.394,5.93,6.01,AUD
2012-01-23 00:00:00,6.01,6.01,5.967,5.967,AUD
2012-01-24 00:00:00,5.967,6.157,5.967,6.157,AUD
2012-01-25 00:00:00,6.157,6.157,6.091,6.098,AUD
2012-01-26 00:00:00,6.098,6.098,5.38,5.38,AUD
2012-01-27 00:00:00,5.38,5.38,4.95,5.0,AUD
2012-01-28 00:00:00,5.0,5.382,4.87,5.382,AUD
2012-01-29 00:00:00,5.382,5.382,5.264,5.264,AUD
2012-01-30 00:00:00,5.264,5.35,5.2,5.2,AUD
2012-01-31 00:00:00,5.2,5.363,5.2,5.363,AUD
2012-02-01 00:00:00,5.363,5.75,5.19,5.75,AUD
2012-02-02 00:00:00,5.75,5.828,5.556,5.75,AUD
2012-02-03 00:00:00,5.75,5.75,5.603,5.736,AUD
2012-02-04 00:00:00,5.736,5.736,5.47,5.5,AUD
2012-02-05 00:00:00,5.5,5.5,5.4,5.4,AUD
2012-02-06 00:00:00,5.4,5.4,5.4,5.4,AUD
2012-02-07 00:00:00,5.4,5.4,5.267,5.299,AUD
