ts,o,h,l,c,fiat
2011-09-27 00:00:00,5.014,5.014,5.014,5.014,CAD
2011-09-28 00:00:00,5.014,5.014,5.014,5.014,CAD
2011-09-29 00:00:00,5.014,5.014,5.014,5.014,CAD
2011-09-30 00:00:00,5.014,5.252,5.014,5.252,CAD
2011-10-01 00:00:00,5.252,5.252,5.252,5.252,CAD
2011-10-02 00:00:00,5.252,5.252,5.252,5.252,CAD
2011-10-03 00:00:00,5.252,5.252,5.092,5.092,CAD
2011-10-04 00:00:00,5.092,5.306,5.092,5.306,CAD
2011-10-05 00:00:00,5.306,5.306,5.306,5.306,CAD
2011-10-06 00:00:00,5.306,5.306,5.059,5.059,CAD
2011-10-07 00:00:00,5.059,5.059,4.456,4.456,CAD
2011-10-08 00:00:00,4.456,4.456,4.456,4.456,CAD
2011-10-09 00:00:00,4.456,4.456,4.456,4.456,CAD
2011-10-10 00:00:00,4.456,4.456,4.221,4.221,CAD
2011-10-11 00:00:00,4.221,4.221,4.124,4.124,CAD
2011-10-12 00:00:00,4.124,4.215,4.124,4.215,CAD
2011-10-13 00:00:00,4.215,4.306,4.114,4.114,CAD
2011-10-14 00:00:00,4.114,4.231,4.114,4.21,CAD
2011-10-15 00:00:00,4.21,4.21,3.992,3.992,CAD
2011-10-16 00:00:00,3.992,3.992,3.992,3.992,CAD
2011-10-17 00:00:00,3.992,3.992,2.544,2.544,CAD
2011-10-18 00:00:00,2.544,2.771,2.544,2.771,CAD
2011-10-19 00:00:00,2.771,2.771,2.35,2.35,CAD
2011-10-20 00:00:00,2.35,2.35,2.327,2.327,CAD
2011-10-21 00:00:00,2.327,2.65,2.327,2.6,CAD
2011-10-22 00:00:00,2.6,2.6,2.6,2.6,CAD
2011-10-23 00:00:00,2.6,3.05,2.6,3.05,CAD
2011-10-24 00:00:00,3.05,3.05,3.05,3.05,CAD
2011-10-25 00:00:00,3.05,3.05,3.05,3.05,CAD
2011-10-26 00:00:00,3.05,3.05,2.744,2.744,CAD
2011-10-27 00:00:00,2.744,2.894,2.744,2.875,CAD
2011-10-28 00:00:00,2.875,3.207,2.875,3.119,CAD
2011-10-29 00:00:00,3.119,3.119,3.119,3.119,CAD
2011-10-30 00:00:00,3.119,3.119,3.119,3.119,CAD
2011-10-31 00:00:00,3.119,3.119,3.119,3.119,CAD
2011-11-01 00:00:00,3.119,3.119,3.119,3.119,CAD
2011-11-02 00:00:00,3.119,3.119,3.119,3.119,CAD
2011-11-03 00:00:00,3.119,3.119,3.119,3.119,CAD
2011-11-04 00:00:00,3.119,3.119,3.119,3.119,CAD
2011-11-05 00:00:00,3.119,3.119,3.119,3.119,CAD
2011-11-06 00:00:00,3.119,3.119,3.119,3.119,CAD
2011-11-07 00:00:00,3.119,3.119,3.009,3.11,CAD
2011-11-08 00:00:00,3.11,3.11,3.11,3.11,CAD
2011-11-09 00:00:00,3.11,3.207,3.086,3.207,CAD
2011-11-10 00:00:00,3.207,3.207,2.957,2.959,CAD
2011-11-11 00:00:00,2.959,2.959,2.959,2.959,CAD
2011-11-12 00:00:00,2.959,2.959,2.959,2.959,CAD
2011-11-13 00:00:00,2.959,2.959,2.959,2.959,CAD
2011-11-14 00:00:00,2.959,2.959,2.959,2.959,CAD
2011-11-15 00:00:00,2.959,2.959,2.959,2.959,CAD
2011-11-16 00:00:00,2.959,2.959,2.564,2.58,CAD
2011-11-17 00:00:00,2.58,2.58,2.58,2.58,CAD
2011-11-18 00:00:00,2.58,2.58,2.25,2.26,CAD
2011-11-19 00:00:00,2.26,2.321,2.26,2.321,CAD
2011-11-20 00:00:00,2.321,2.321,2.321,2.321,CAD
2011-11-21 00:00:00,2.321,2.321,2.321,2.321,CAD
2011-11-22 00:00:00,2.321,2.409,2.321,2.346,CAD
2011-11-23 00:00:00,2.346,2.346,2.346,2.346,CAD
2011-11-24 00:00:00,2.346,2.398,2.346,2.398,CAD
2011-11-25 00:00:00,2.398,2.398,2.398,2.398,CAD
2011-11-26 00:00:00,2.398,2.398,2.398,2.398,CAD
2011-11-27 00:00:00,2.398,2.398,2.398,2.398,CAD
2011-11-28 00:00:00,2.398,2.599,2.398,2.595,CAD
2011-11-29 00:00:00,2.595,2.937,2.595,2.937,CAD
2011-11-30 00:00:00,2.937,2.937,2.877,2.877,CAD
2011-12-01 00:00:00,2.877,3.091,2.877,3.091,CAD
2011-12-02 00:00:00,3.091,3.151,3.091,3.151,CAD
2011-12-03 00:00:00,3.151,3.151,3.0,3.0,CAD
2011-12-04 00:00:00,3.0,3.0,3.0,3.0,CAD
2011-12-05 00:00:00,3.0,3.0,2.913,2.913,CAD
2011-12-06 00:00:00,2.913,2.998,2.913,2.998,CAD
2011-12-07 00:00:00,2.998,3.123,2.986,2.986,CAD
2011-12-08 00:00:00,2.986,3.058,2.911,2.968,CAD
2011-12-09 00:00:00,2.968,2.968,2.968,2.968,CAD
2011-12-10 00:00:00,2.968,2.968,2.968,2.968,CAD
2011-12-11 00:00:00,2.968,2.968,2.968,2.968,CAD
2011-12-12 00:00:00,2.968,3.16,2.968,3.16,CAD
2011-12-13 00:00:00,3.16,3.204,3.16,3.204,CAD
2011-12-14 00:00:00,3.204,3.233,3.115,3.227,CAD
2011-12-15 00:00:00,3.227,3.329,3.177,3.189,CAD
2011-12-16 00:00:00,3.189,3.36,3.189,3.233,CAD
2011-12-17 00:00:00,3.233,3.233,3.185,3.186,CAD
2011-12-18 00:00:00,3.186,3.37,3.186,3.37,CAD
2011-12-19 00:00:00,3.37,3.523,3.37,3.509,CAD
2011-12-20 00:00:00,3.509,4.194,3.509,4.194,CAD
2011-12-21 00:00:00,4.194,4.194,3.978,3.978,CAD
2011-12-22 00:00:00,3.978,4.107,3.978,4.107,CAD
2011-12-23 00:00:00,4.107,4.107,3.819,3.82,CAD
2011-12-24 00:00:00,3.82,3.82,3.82,3.82,CAD
2011-12-25 00:00:00,3.82,4.272,3.82,4.171,CAD
2011-12-26 00:00:00,4.171,4.298,3.898,3.898,CAD
2011-12-27 00:00:00,3.898,4.046,3.898,3.949,CAD
2011-12-28 00:00:00,3.949,4.213,3.949,4.213,CAD
2011-12-29 00:00:00,4.213,4.429,4.156,4.159,CAD
2011-12-30 00:00:00,4.159,4.285,4.159,4.285,CAD
2011-12-31 00:00:00,4.285,4.4,4.285,4.4,CAD
2012-01-01 00:00:00,4.4,5.456,4.4,5.34,CAD
2012-01-02 00:00:00,5.34,5.65,5.34,5.437,CAD
2012-01-03 00:00:00,5.437,5.487,5.291,5.291,CAD
2012-01-04 00:00:00,5.291,5.291,5.062,5.062,CAD
2012-01-05 00:00:00,5.062,6.47,5.062,6.456,CAD
2012-01-06 00:00:00,6.456,7.457,6.456,6.844,CAD
2012-01-07 00:00:00,6.844,7.023,6.628,6.628,CAD
2012-01-08 00:00:00,6.628,6.628,6.628,6.628,CAD
2012-01-09 00:00:00,6.628,6.796,6.398,6.5,CAD
2012-01-10 00:00:00,6.5,6.7,6.5,6.7,CAD
2012-01-11 00:00:00,6.7,7.01,6.49,7.01,CAD
2012-01-12 00:00:00,7.01,7.03,6.606,6.606,CAD
2012-01-13 00:00:00,6.606,6.606,6.569,6.569,CAD
2012-01-14 00:00:00,6.569,7.034,6.488,6.827,CAD
2012-01-15 00:00:00,6.827,7.03,6.827,7.03,CAD
2012-01-16 00:00:00,7.03,7.245,6.622,6.622,CAD
2012-01-17 00:00:00,6.622,6.873,5.4,5.4,CAD
2012-01-18 00:00:00,5.4,5.916,5.4,5.916,CAD
2012-01-19 00:00:00,5.916,6.394,5.916,6.129,CAD
2012-01-20 00:00:00,6.129,6.537,6.129,6.417,CAD
2012-01-21 00:00:00,6.417,6.417,6.358,6.358,CAD
2012-01-22 00:00:00,6.358,6.358,6.358,6.358,CAD
2012-01-23 00:00:00,6.358,6.55,6.23,6.23,CAD
2012-01-24 00:00:00,6.23,6.55,6.23,6.55,CAD
2012-01-25 00:00:00,6.55,6.55,5.897,5.897,CAD
2012-01-26 00:00:00,5.897,5.967,5.734,5.734,CAD
2012-01-27 00:00:00,5.734,5.734,5.734,5.734,CAD
2012-01-28 00:00:00,5.734,5.734,5.61,5.61,CAD
2012-01-29 00:00:00,5.61,5.739,5.61,5.739,CAD
2012-01-30 00:00:00,5.739,5.739,5.425,5.425,CAD
2012-01-31 00:00:00,5.425,5.504,5.425,5.504,CAD
2012-02-01 00:00:00,5.504,6.0,5.462,6.0,CAD
2012-02-02 00:00:00,6.0,6.1,5.859,6.003,CAD
2012-02-03 00:00:00,6.003,6.1,5.878,5.878,CAD
