ts,o,h,l,c,fiat
2011-08-27 00:00:00,6.008,6.145,6.008,6.145,EUR
2011-08-28 00:00:00,6.145,6.398,6.145,6.398,EUR
2011-08-29 00:00:00,6.398,6.398,6.398,6.398,EUR
2011-08-30 00:00:00,6.398,6.398,6.398,6.398,EUR
2011-08-31 00:00:00,6.398,6.398,6.398,6.398,EUR
2011-09-01 00:00:00,6.398,6.398,6.398,6.398,EUR
2011-09-02 00:00:00,6.398,6.398,5.699,5.785,EUR
2011-09-03 00:00:00,5.785,5.838,5.785,5.834,EUR
2011-09-04 00:00:00,5.834,5.834,5.834,5.834,EUR
2011-09-05 00:00:00,5.834,5.834,5.031,5.031,EUR
2011-09-06 00:00:00,5.031,5.031,4.536,4.536,EUR
2011-09-07 00:00:00,4.536,5.247,4.536,4.948,EUR
2011-09-08 00:00:00,4.948,5.082,4.77,4.77,EUR
2011-09-09 00:00:00,4.77,4.77,3.099,3.5,EUR
2011-09-10 00:00:00,3.5,3.756,3.486,3.487,EUR
2011-09-11 00:00:00,3.487,5.01,3.3,3.656,EUR
2011-09-12 00:00:00,3.656,4.764,3.656,4.377,EUR
2011-09-13 00:00:00,4.377,4.528,4.25,4.34,EUR
2011-09-14 00:00:00,4.34,4.357,4.0,4.1,EUR
2011-09-15 00:00:00,4.1,4.1,3.319,3.5,EUR
2011-09-16 00:00:00,3.5,3.632,3.437,3.5,EUR
2011-09-17 00:00:00,3.5,3.649,3.5,3.573,EUR
2011-09-18 00:00:00,3.573,4.048,3.46,3.748,EUR
2011-09-19 00:00:00,3.748,4.149,3.709,4.0,EUR
2011-09-20 00:00:00,4.0,5.072,4.0,4.469,EUR
2011-09-21 00:00:00,4.469,4.566,3.8,4.067,EUR
2011-09-22 00:00:00,4.067,4.224,3.969,4.08,EUR
2011-09-23 00:00:00,4.08,4.227,4.0,4.227,EUR
2011-09-24 00:00:00,4.227,4.227,4.067,4.1,EUR
2011-09-25 00:00:00,4.1,4.12,4.0,4.0,EUR
2011-09-26 00:00:00,4.0,4.088,3.544,3.7,EUR
2011-09-27 00:00:00,3.7,3.85,3.65,3.675,EUR
2011-09-28 00:00:00,3.675,3.72,3.45,3.59,EUR
2011-09-29 00:00:00,3.59,3.59,3.5,3.55,EUR
2011-09-30 00:00:00,3.55,3.97,3.5,3.85,EUR
2011-10-01 00:00:00,3.85,3.879,3.65,3.81,EUR
2011-10-02 00:00:00,3.81,3.81,3.72,3.781,EUR
2011-10-03 00:00:00,3.781,3.781,3.7,3.7,EUR
2011-10-04 00:00:00,3.7,3.821,3.7,3.75,EUR
2011-10-05 00:00:00,3.75,3.82,3.65,3.676,EUR
2011-10-06 00:00:00,3.676,3.743,3.45,3.55,EUR
2011-10-07 00:00:00,3.55,3.59,2.9,3.293,EUR
2011-10-08 00:00:00,3.293,3.293,2.872,2.89,EUR
2011-10-09 00:00:00,2.89,3.18,2.89,2.979,EUR
2011-10-10 00:00:00,2.979,3.2,2.979,3.09,EUR
2011-10-11 00:00:00,3.09,3.091,2.881,2.929,EUR
2011-10-12 00:00:00,2.929,3.19,2.91,3.06,EUR
2011-10-13 00:00:00,3.06,3.1,2.96,2.96,EUR
2011-10-14 00:00:00,2.96,3.062,2.945,2.97,EUR
2011-10-15 00:00:00,2.97,2.97,2.702,2.79,EUR
2011-10-16 00:00:00,2.79,2.8,2.51,2.587,EUR
2011-10-17 00:00:00,2.587,2.776,1.686,1.921,EUR
2011-10-18 00:00:00,1.921,2.14,1.72,1.754,EUR
2011-10-19 00:00:00,1.754,1.81,1.5,1.62,EUR
2011-10-20 00:00:00,1.62,1.772,1.597,1.74,EUR
2011-10-21 00:00:00,1.74,1.934,1.74,1.813,EUR
2011-10-22 00:00:00,1.813,2.43,1.813,2.256,EUR
2011-10-23 00:00:00,2.256,2.377,2.154,2.274,EUR
2011-10-24 00:00:00,2.274,2.35,1.824,1.872,EUR
2011-10-25 00:00:00,1.872,2.14,1.8,2.0,EUR
2011-10-26 00:00:00,2.0,2.08,1.929,1.98,EUR
2011-10-27 00:00:00,1.98,2.16,1.957,2.16,EUR
2011-10-28 00:00:00,2.16,2.329,2.085,2.329,EUR
2011-10-29 00:00:00,2.329,2.678,2.201,2.574,EUR
2011-10-30 00:00:00,2.574,2.6,2.206,2.303,EUR
2011-10-31 00:00:00,2.303,2.326,2.203,2.301,EUR
2011-11-01 00:00:00,2.301,2.416,2.23,2.32,EUR
2011-11-02 00:00:00,2.32,2.44,2.304,2.42,EUR
2011-11-03 00:00:00,2.42,2.42,2.301,2.31,EUR
2011-11-04 00:00:00,2.31,2.381,2.21,2.27,EUR
2011-11-05 00:00:00,2.27,2.32,2.064,2.176,EUR
