ts,o,h,l,c,fiat
2011-09-06 00:00:00,4.445,4.445,4.058,4.254,GBP
2011-09-07 00:00:00,4.254,4.512,4.261,4.261,GBP
2011-09-08 00:00:00,4.261,4.431,4.206,4.206,GBP
2011-09-09 00:00:00,4.206,3.888,3.0,3.161,GBP
2011-09-10 00:00:00,3.161,3.299,3.0,3.0,GBP
2011-09-11 00:00:00,3.0,4.0,2.954,3.0,GBP
2011-09-12 00:00:00,3.0,3.993,2.972,2.972,GBP
2011-09-13 00:00:00,2.972,3.849,3.62,3.69,GBP
2011-09-14 00:00:00,3.69,3.6,3.5,3.5,GBP
2011-09-15 00:00:00,3.5,3.213,2.95,3.213,GBP
2011-09-16 00:00:00,3.213,3.178,3.043,3.043,GBP
2011-09-17 00:00:00,3.043,3.186,3.04,3.04,GBP
2011-09-18 00:00:00,3.04,3.292,3.292,3.292,GBP
2011-09-19 00:00:00,3.292,3.568,3.202,3.568,GBP
2011-09-20 00:00:00,3.568,3.853,3.719,3.853,GBP
2011-09-21 00:00:00,3.853,3.871,3.276,3.62,GBP
2011-09-22 00:00:00,3.62,3.704,3.579,3.599,GBP
2011-09-23 00:00:00,3.599,3.741,3.456,3.741,GBP
2011-09-24 00:00:00,3.741,3.621,3.58,3.621,GBP
2011-09-25 00:00:00,3.621,3.621,3.621,3.621,GBP
2011-09-26 00:00:00,3.621,3.4,3.149,3.237,GBP
2011-09-27 00:00:00,3.237,3.275,3.231,3.231,GBP
2011-09-28 00:00:00,3.231,3.2,3.05,3.148,GBP
2011-09-29 00:00:00,3.148,3.14,3.074,3.114,GBP
2011-09-30 00:00:00,3.114,3.348,3.055,3.348,GBP
2011-10-01 00:00:00,3.348,3.299,3.299,3.299,GBP
2011-10-02 00:00:00,3.299,3.299,3.299,3.299,GBP
2011-10-03 00:00:00,3.299,3.267,3.231,3.263,GBP
2011-10-04 00:00:00,3.263,3.312,3.266,3.283,GBP
2011-10-05 00:00:00,3.283,3.28,3.271,3.28,GBP
2011-10-06 00:00:00,3.28,3.25,2.963,3.15,GBP
2011-10-07 00:00:00,3.15,3.072,2.6,2.81,GBP
2011-10-08 00:00:00,2.81,2.849,2.485,2.485,GBP
2011-10-09 00:00:00,2.485,2.725,2.575,2.725,GBP
2011-10-10 00:00:00,2.725,2.624,2.6,2.624,GBP
2011-10-11 00:00:00,2.624,2.657,2.44,2.601,GBP
2011-10-12 00:00:00,2.601,2.681,2.54,2.585,GBP
2011-10-13 00:00:00,2.585,2.678,2.573,2.62,GBP
2011-10-14 00:00:00,2.62,2.649,2.61,2.61,GBP
2011-10-15 00:00:00,2.61,2.56,2.417,2.417,GBP
2011-10-16 00:00:00,2.417,2.4,2.3,2.331,GBP
2011-10-17 00:00:00,2.331,2.372,1.464,1.663,GBP
2011-10-18 00:00:00,1.663,1.735,1.551,1.559,GBP
2011-10-19 00:00:00,1.559,1.606,1.341,1.355,GBP
2011-10-20 00:00:00,1.355,1.5,1.43,1.43,GBP
2011-10-21 00:00:00,1.43,1.712,1.521,1.66,GBP
2011-10-22 00:00:00,1.66,2.03,1.654,2.03,GBP
2011-10-23 00:00:00,2.03,2.041,1.934,2.041,GBP
2011-10-24 00:00:00,2.041,2.043,1.637,1.637,GBP
2011-10-25 00:00:00,1.637,1.816,1.568,1.697,GBP
2011-10-26 00:00:00,1.697,1.806,1.647,1.775,GBP
2011-10-27 00:00:00,1.775,1.886,1.668,1.802,GBP
2011-10-28 00:00:00,1.802,2.067,1.886,2.007,GBP
2011-10-29 00:00:00,2.007,2.3,1.999,2.169,GBP
2011-10-30 00:00:00,2.169,2.292,1.964,1.964,GBP
2011-10-31 00:00:00,1.964,2.069,1.97,2.02,GBP
2011-11-01 00:00:00,2.02,2.109,1.9,1.978,GBP
2011-11-02 00:00:00,1.978,2.085,1.97,2.075,GBP
2011-11-03 00:00:00,2.075,2.076,1.955,1.96,GBP
2011-11-04 00:00:00,1.96,2.045,1.893,1.9,GBP
2011-11-05 00:00:00,1.9,2.0,1.845,1.904,GBP
2011-11-06 00:00:00,1.904,1.904,1.85,1.85,GBP
2011-11-07 00:00:00,1.85,1.85,1.846,1.85,GBP
2011-11-08 00:00:00,1.85,1.993,1.86,1.86,GBP
2011-11-09 00:00:00,1.86,1.977,1.87,1.87,GBP
2011-11-10 00:00:00,1.87,1.901,1.8,1.8,GBP
2011-11-11 00:00:00,1.8,1.919,1.788,1.855,GBP
2011-11-12 00:00:00,1.855,1.95,1.856,1.856,GBP
2011-11-13 00:00:00,1.856,1.9,1.9,1.9,GBP
2011-11-14 00:00:00,1.9,1.85,1.4,1.4,GBP
