ts,o,h,l,c,fiat
2013-03-15 00:00:00,180.0,185.0,180.0,185.0,ILS
2013-03-16 00:00:00,185.0,185.0,185.0,185.0,ILS
2013-03-17 00:00:00,185.0,185.0,177.0,177.0,ILS
2013-03-18 00:00:00,177.0,177.0,173.0,173.5,ILS
2013-03-19 00:00:00,173.5,200.0,173.5,200.0,ILS
2013-03-20 00:00:00,200.0,219.0,195.0,195.0,ILS
2013-03-21 00:00:00,195.0,236.0,195.0,236.0,ILS
2013-03-22 00:00:00,236.0,262.0,236.0,262.0,ILS
2013-03-23 00:00:00,262.0,262.0,222.0,238.0,ILS
2013-03-24 00:00:00,238.0,258.0,238.0,258.0,ILS
2013-03-25 00:00:00,258.0,259.0,258.0,259.0,ILS
2013-03-26 00:00:00,259.0,279.0,250.0,250.0,ILS
2013-03-27 00:00:00,250.0,315.0,250.0,307.0,ILS
2013-03-28 00:00:00,307.0,360.0,307.0,360.0,ILS
2013-03-29 00:00:00,360.0,375.0,360.0,375.0,ILS
2013-03-30 00:00:00,375.0,375.0,375.0,375.0,ILS
2013-03-31 00:00:00,375.0,375.0,375.0,375.0,ILS
2013-04-01 00:00:00,375.0,375.0,375.0,375.0,ILS
2013-04-02 00:00:00,375.0,390.0,375.0,390.0,ILS
2013-04-03 00:00:00,390.0,550.0,390.0,550.0,ILS
2013-04-04 00:00:00,550.0,550.0,550.0,550.0,ILS
2013-04-05 00:00:00,550.0,550.0,550.0,550.0,ILS
2013-04-06 00:00:00,550.0,550.0,550.0,550.0,ILS
2013-04-07 00:00:00,636.46,643.6,636.46,642.8,ILS
2013-04-08 00:00:00,550.0,800.0,550.0,800.0,ILS
2013-04-09 00:00:00,800.0,840.0,800.0,840.0,ILS
2013-04-10 00:00:00,840.0,900.0,500.0,500.0,ILS
2013-04-11 00:00:00,500.0,500.0,500.0,500.0,ILS
2013-04-12 00:00:00,500.0,500.0,350.0,350.0,ILS
2013-04-13 00:00:00,350.0,350.0,350.0,350.0,ILS
2013-04-14 00:00:00,350.0,350.0,350.0,350.0,ILS
2013-04-15 00:00:00,350.0,350.0,350.0,350.0,ILS
2013-04-16 00:00:00,350.0,350.0,350.0,350.0,ILS
2013-04-17 00:00:00,350.0,350.0,350.0,350.0,ILS
2013-04-18 00:00:00,350.0,350.0,350.0,350.0,ILS
2013-04-19 00:00:00,350.0,350.0,350.0,350.0,ILS
2013-04-20 00:00:00,350.0,350.0,350.0,350.0,ILS
2013-04-21 00:00:00,350.0,350.0,350.0,350.0,ILS
2013-04-22 00:00:00,350.0,350.0,350.0,350.0,ILS
2013-04-23 00:00:00,350.0,350.0,350.0,350.0,ILS
2013-04-24 00:00:00,150.0,477.01,150.0,477.01,ILS
2013-04-25 00:00:00,477.01,477.01,477.01,477.01,ILS
2013-04-26 00:00:00,350.0,590.0,350.0,590.0,ILS
2013-04-27 00:00:00,590.0,590.0,590.0,590.0,ILS
2013-04-28 00:00:00,590.0,590.0,590.0,590.0,ILS
2013-04-29 00:00:00,590.0,590.0,590.0,590.0,ILS
2013-04-30 00:00:00,590.0,590.0,590.0,590.0,ILS
2013-05-01 00:00:00,590.0,590.0,590.0,590.0,ILS
2013-05-02 00:00:00,590.0,590.0,590.0,590.0,ILS
2013-05-03 00:00:00,590.0,590.0,590.0,590.0,ILS
2013-05-04 00:00:00,590.0,590.0,335.0,419.0,ILS
2013-05-05 00:00:00,419.0,419.0,282.0,282.0,ILS
2013-05-06 00:00:00,282.0,430.0,282.0,429.0,ILS
2013-05-07 00:00:00,429.0,429.0,386.0,386.0,ILS
2013-05-08 00:00:00,386.0,424.0,340.0,424.0,ILS
2013-05-09 00:00:00,424.0,428.0,407.0,424.0,ILS
2013-05-10 00:00:00,424.0,445.0,409.0,445.0,ILS
2013-05-11 00:00:00,445.0,455.0,439.0,455.0,ILS
2013-05-12 00:00:00,455.0,455.0,418.0,418.0,ILS
2013-05-13 00:00:00,418.0,460.0,418.0,421.1,ILS
2013-05-14 00:00:00,421.1,458.0,421.1,458.0,ILS
2013-05-15 00:00:00,458.0,470.0,435.0,435.0,ILS
2013-05-16 00:00:00,435.0,440.0,435.0,440.0,ILS
2013-05-17 00:00:00,440.0,479.0,429.1,450.0,ILS
2013-05-18 00:00:00,450.0,450.0,435.0,435.0,ILS
2013-05-19 00:00:00,435.0,455.0,435.0,438.0,ILS
2013-05-20 00:00:00,438.0,457.0,438.0,450.0,ILS
2013-05-21 00:00:00,450.0,457.0,450.0,457.0,ILS
2013-05-22 00:00:00,457.0,457.0,440.0,440.0,ILS
2013-05-23 00:00:00,440.0,456.0,401.0,401.0,ILS
2013-05-24 00:00:00,401.0,470.0,401.0,470.0,ILS
2013-05-25 00:00:00,470.0,479.0,470.0,479.0,ILS
2013-05-26 00:00:00,479.0,485.0,479.0,485.0,ILS
2013-05-27 00:00:00,485.0,515.0,480.0,515.0,ILS
2013-05-28 00:00:00,515.0,515.0,480.0,480.0,ILS
2013-05-29 00:00:00,480.0,498.0,480.0,480.0,ILS
2013-05-30 00:00:00,480.0,504.0,480.0,504.0,ILS
2013-05-31 00:00:00,504.0,504.0,470.0,470.0,ILS
2013-06-01 00:00:00,470.0,478.0,470.0,475.1,ILS
2013-06-02 00:00:00,475.1,504.0,420.0,420.0,ILS
2013-06-03 00:00:00,420.0,455.0,420.0,455.0,ILS
2013-06-04 00:00:00,455.0,480.0,450.0,480.0,ILS
2013-06-05 00:00:00,480.0,480.0,440.0,440.0,ILS
2013-06-06 00:00:00,440.0,479.0,440.0,479.0,ILS
2013-06-07 00:00:00,479.0,479.0,440.0,450.0,ILS
2013-06-08 00:00:00,450.0,459.5,438.0,439.9,ILS
2013-06-09 00:00:00,439.9,439.9,300.0,390.0,ILS
2013-06-10 00:00:00,390.0,410.0,282.0,350.0,ILS
2013-06-11 00:00:00,350.0,390.0,350.0,389.0,ILS
2013-06-12 00:00:00,389.0,420.0,389.0,420.0,ILS
2013-06-13 00:00:00,420.0,437.0,400.0,437.0,ILS
