ts,o,h,l,c,fiat
2011-08-27 00:00:00,700.99,700.99,700.99,700.99,JPY
2011-08-28 00:00:00,700.99,700.99,700.99,700.99,JPY
2011-08-29 00:00:00,700.99,700.99,700.99,700.99,JPY
2011-08-30 00:00:00,700.99,700.99,680.0,680.0,JPY
2011-08-31 00:00:00,680.0,680.0,650.0,650.0,JPY
2011-09-01 00:00:00,650.0,650.0,650.0,650.0,JPY
2011-09-02 00:00:00,650.0,669.72,650.0,669.72,JPY
2011-09-03 00:00:00,669.72,669.72,669.72,669.72,JPY
2011-09-04 00:00:00,669.72,669.72,669.72,669.72,JPY
2011-09-05 00:00:00,669.72,669.72,669.72,669.72,JPY
2011-09-06 00:00:00,669.72,669.72,669.72,669.72,JPY
2011-09-07 00:00:00,669.72,669.72,541.24,566.25,JPY
2011-09-08 00:00:00,566.25,566.25,566.25,566.25,JPY
2011-09-09 00:00:00,566.25,566.25,386.12,386.12,JPY
2011-09-10 00:00:00,386.12,386.12,386.12,386.12,JPY
2011-09-11 00:00:00,386.12,386.12,386.12,386.12,JPY
2011-09-12 00:00:00,386.12,386.12,386.12,386.12,JPY
2011-09-13 00:00:00,386.12,386.12,386.12,386.12,JPY
2011-09-14 00:00:00,386.12,386.12,386.12,386.12,JPY
2011-09-15 00:00:00,386.12,386.12,386.12,386.12,JPY
2011-09-16 00:00:00,386.12,386.12,386.12,386.12,JPY
2011-09-17 00:00:00,386.12,386.12,386.12,386.12,JPY
2011-09-18 00:00:00,386.12,386.12,386.12,386.12,JPY
2011-09-19 00:00:00,386.12,386.12,386.12,386.12,JPY
2011-09-20 00:00:00,386.12,386.12,386.12,386.12,JPY
2011-09-21 00:00:00,386.12,478.49,386.12,478.49,JPY
2011-09-22 00:00:00,478.49,478.49,429.06,429.06,JPY
2011-09-23 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-09-24 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-09-25 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-09-26 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-09-27 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-09-28 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-09-29 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-09-30 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-10-01 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-10-02 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-10-03 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-10-04 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-10-05 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-10-06 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-10-07 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-10-08 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-10-09 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-10-10 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-10-11 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-10-12 00:00:00,429.06,429.06,429.06,429.06,JPY
2011-10-13 00:00:00,429.06,429.06,310.88,310.88,JPY
2011-10-14 00:00:00,310.88,310.88,310.88,310.88,JPY
2011-10-15 00:00:00,310.88,310.88,310.88,310.88,JPY
2011-10-16 00:00:00,310.88,310.88,310.88,310.88,JPY
2011-10-17 00:00:00,310.88,310.88,270.52,270.52,JPY
2011-10-18 00:00:00,270.52,270.52,211.31,211.31,JPY
2011-10-19 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-10-20 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-10-21 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-10-22 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-10-23 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-10-24 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-10-25 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-10-26 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-10-27 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-10-28 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-10-29 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-10-30 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-10-31 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-11-01 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-11-02 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-11-03 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-11-04 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-11-05 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-11-06 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-11-07 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-11-08 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-11-09 00:00:00,211.31,211.31,211.31,211.31,JPY
2011-11-10 00:00:00,211.31,235.8,211.31,235.8,JPY
2011-11-11 00:00:00,235.8,235.8,235.8,235.8,JPY
2011-11-12 00:00:00,235.8,235.8,235.8,235.8,JPY
2011-11-13 00:00:00,235.8,235.8,235.8,235.8,JPY
2011-11-14 00:00:00,235.8,235.8,235.8,235.8,JPY
2011-11-15 00:00:00,235.8,235.8,235.8,235.8,JPY
2011-11-16 00:00:00,235.8,235.8,235.8,235.8,JPY
2011-11-17 00:00:00,235.8,235.8,235.8,235.8,JPY
2011-11-18 00:00:00,235.8,235.8,177.84,177.84,JPY
2011-11-19 00:00:00,177.84,177.84,177.84,177.84,JPY
2011-11-20 00:00:00,177.84,177.84,177.84,177.84,JPY
2011-11-21 00:00:00,177.84,177.84,174.19,175.75,JPY
2011-11-22 00:00:00,175.75,175.75,175.75,175.75,JPY
2011-11-23 00:00:00,175.75,175.75,175.75,175.75,JPY
2011-11-24 00:00:00,175.75,175.75,175.75,175.75,JPY
2011-11-25 00:00:00,175.75,175.75,175.75,175.75,JPY
2011-11-26 00:00:00,175.75,175.75,175.75,175.75,JPY
2011-11-27 00:00:00,175.75,175.75,175.75,175.75,JPY
2011-11-28 00:00:00,175.75,175.75,175.75,175.75,JPY
2011-11-29 00:00:00,175.75,175.75,175.75,175.75,JPY
2011-11-30 00:00:00,175.75,175.75,175.75,175.75,JPY
2011-12-01 00:00:00,175.75,175.75,175.75,175.75,JPY
2011-12-02 00:00:00,175.75,246.48,175.75,246.48,JPY
2011-12-03 00:00:00,246.48,246.48,246.48,246.48,JPY
2011-12-04 00:00:00,246.48,246.48,246.48,246.48,JPY
2011-12-05 00:00:00,246.48,246.48,228.33,228.33,JPY
2011-12-06 00:00:00,228.33,228.33,228.33,228.33,JPY
2011-12-07 00:00:00,228.33,228.33,228.33,228.33,JPY
2011-12-08 00:00:00,228.33,228.33,228.33,228.33,JPY
2011-12-09 00:00:00,228.33,228.33,228.33,228.33,JPY
2011-12-10 00:00:00,228.33,228.33,228.33,228.33,JPY
2011-12-11 00:00:00,228.33,228.33,228.33,228.33,JPY
2011-12-12 00:00:00,228.33,228.33,228.33,228.33,JPY
2011-12-13 00:00:00,228.33,228.33,228.33,228.33,JPY
2011-12-14 00:00:00,228.33,228.33,228.33,228.33,JPY
2011-12-15 00:00:00,228.33,228.33,228.33,228.33,JPY
2011-12-16 00:00:00,228.33,228.33,228.33,228.33,JPY
2011-12-17 00:00:00,228.33,228.33,228.33,228.33,JPY
2011-12-18 00:00:00,228.33,228.33,228.33,228.33,JPY
2011-12-19 00:00:00,228.33,255.43,228.33,255.43,JPY
2011-12-20 00:00:00,255.43,255.43,255.43,255.43,JPY
2011-12-21 00:00:00,255.43,255.43,255.43,255.43,JPY
2011-12-22 00:00:00,255.43,313.65,255.43,303.03,JPY
2011-12-23 00:00:00,303.03,303.03,303.03,303.03,JPY
2011-12-24 00:00:00,303.03,303.03,303.03,303.03,JPY
2011-12-25 00:00:00,303.03,303.03,303.03,303.03,JPY
2011-12-26 00:00:00,303.03,303.03,303.03,303.03,JPY
2011-12-27 00:00:00,303.03,303.03,303.03,303.03,JPY
2011-12-28 00:00:00,303.03,303.03,303.03,303.03,JPY
2011-12-29 00:00:00,303.03,303.03,303.03,303.03,JPY
2011-12-30 00:00:00,303.03,303.03,303.03,303.03,JPY
2011-12-31 00:00:00,303.03,303.03,303.03,303.03,JPY
2012-01-01 00:00:00,303.03,303.03,303.03,303.03,JPY
2012-01-02 00:00:00,303.03,303.03,303.03,303.03,JPY
2012-01-03 00:00:00,303.03,303.03,303.03,303.03,JPY
2012-01-04 00:00:00,303.03,303.03,303.03,303.03,JPY
2012-01-05 00:00:00,303.03,491.64,303.03,491.64,JPY
2012-01-06 00:00:00,491.64,491.64,491.64,491.64,JPY
2012-01-07 00:00:00,491.64,491.64,491.64,491.64,JPY
2012-01-08 00:00:00,491.64,491.64,491.64,491.64,JPY
2012-01-09 00:00:00,491.64,544.37,491.64,544.37,JPY
2012-01-10 00:00:00,544.37,544.37,498.66,498.66,JPY
2012-01-11 00:00:00,498.66,500.0,498.66,500.0,JPY
2012-01-12 00:00:00,500.0,543.75,500.0,543.75,JPY
2012-01-13 00:00:00,543.75,543.75,543.75,543.75,JPY
2012-01-14 00:00:00,543.75,543.75,543.75,543.75,JPY
2012-01-15 00:00:00,543.75,543.75,543.75,543.75,JPY
2012-01-16 00:00:00,543.75,543.75,543.75,543.75,JPY
2012-01-17 00:00:00,543.75,543.75,527.16,533.27,JPY
2012-01-18 00:00:00,533.27,533.27,442.66,453.75,JPY
2012-01-19 00:00:00,453.75,464.57,453.75,463.49,JPY
2012-01-20 00:00:00,463.49,511.03,463.49,511.03,JPY
2012-01-21 00:00:00,511.03,513.97,503.43,513.97,JPY
2012-01-22 00:00:00,513.97,513.97,513.97,513.97,JPY
2012-01-23 00:00:00,513.97,513.97,513.97,513.97,JPY
2012-01-24 00:00:00,513.97,513.97,513.97,513.97,JPY
2012-01-25 00:00:00,513.97,513.97,513.97,513.97,JPY
2012-01-26 00:00:00,513.97,513.97,513.97,513.97,JPY
2012-01-27 00:00:00,513.97,513.97,513.97,513.97,JPY
2012-01-28 00:00:00,513.97,513.97,513.97,513.97,JPY
2012-01-29 00:00:00,513.97,513.97,513.97,513.97,JPY
2012-01-30 00:00:00,513.97,513.97,513.97,513.97,JPY
2012-01-31 00:00:00,513.97,513.97,513.97,513.97,JPY
2012-02-01 00:00:00,513.97,513.97,513.97,513.97,JPY
2012-02-02 00:00:00,513.97,513.97,513.97,513.97,JPY
2012-02-03 00:00:00,513.97,513.97,474.31,474.31,JPY
2012-02-04 00:00:00,474.31,474.31,474.31,474.31,JPY
2012-02-05 00:00:00,474.31,474.31,474.31,474.31,JPY
2012-02-06 00:00:00,474.31,474.31,474.31,474.31,JPY
2012-02-07 00:00:00,474.31,474.31,474.31,474.31,JPY
2012-02-08 00:00:00,474.31,474.31,474.31,474.31,JPY
2012-02-09 00:00:00,474.31,474.31,474.31,474.31,JPY
