ts,o,h,l,c,fiat
2013-08-08 00:00:00,109638.75,109638.75,105908.58,105908.58,KRW
2013-08-09 00:00:00,105908.58,105908.58,105908.58,105908.58,KRW
2013-08-10 00:00:00,105908.58,105908.58,105908.58,105908.58,KRW
2013-08-11 00:00:00,105908.58,105908.58,105908.58,105908.58,KRW
2013-08-12 00:00:00,105908.58,105908.58,105908.58,105908.58,KRW
2013-08-13 00:00:00,105908.58,105908.58,105908.58,105908.58,KRW
2013-08-14 00:00:00,105908.58,110067.36,105908.58,110067.36,KRW
2013-08-15 00:00:00,110067.36,110067.36,110067.36,110067.36,KRW
2013-08-16 00:00:00,110067.36,110067.36,104498.7,104498.7,KRW
2013-08-17 00:00:00,104498.7,104498.7,104498.7,104498.7,KRW
2013-08-18 00:00:00,104498.7,104498.7,104498.7,104498.7,KRW
2013-08-19 00:00:00,104498.7,108259.83,104498.7,108259.83,KRW
2013-08-20 00:00:00,108259.83,108259.83,108259.83,108259.83,KRW
2013-08-21 00:00:00,108259.83,127138.74,108259.83,127138.74,KRW
2013-08-22 00:00:00,127138.74,127138.74,127138.74,127138.74,KRW
2013-08-23 00:00:00,127138.74,127138.74,127138.74,127138.74,KRW
2013-08-24 00:00:00,127138.74,127138.74,127138.74,127138.74,KRW
2013-08-25 00:00:00,127138.74,127138.74,127138.74,127138.74,KRW
2013-08-26 00:00:00,127138.74,127138.74,127138.74,127138.74,KRW
2013-08-27 00:00:00,127138.74,127138.74,124765.11,124765.11,KRW
2013-08-28 00:00:00,124765.11,124765.11,124765.11,124765.11,KRW
2013-08-29 00:00:00,124765.11,133260.72,124765.11,133260.72,KRW
2013-08-30 00:00:00,133260.72,133260.72,133260.72,133260.72,KRW
2013-08-31 00:00:00,133260.72,145030.8,133260.72,145030.8,KRW
2013-09-01 00:00:00,145030.8,145030.8,145030.8,145030.8,KRW
2013-09-02 00:00:00,145030.8,150280.54,145030.8,148895.71,KRW
2013-09-03 00:00:00,148895.71,150903.48,147904.16,147904.16,KRW
2013-09-04 00:00:00,147904.16,147904.16,147904.16,147904.16,KRW
2013-09-05 00:00:00,147904.16,147904.16,147904.16,147904.16,KRW
2013-09-06 00:00:00,147904.16,147904.16,147904.16,147904.16,KRW
2013-09-07 00:00:00,147904.16,147904.16,147904.16,147904.16,KRW
2013-09-08 00:00:00,147904.16,147904.16,147904.16,147904.16,KRW
2013-09-09 00:00:00,147904.16,147904.16,147904.16,147904.16,KRW
2013-09-10 00:00:00,147904.16,147904.16,147904.16,147904.16,KRW
2013-09-11 00:00:00,147904.16,147904.16,147904.16,147904.16,KRW
2013-09-12 00:00:00,147904.16,147904.16,147904.16,147904.16,KRW
2013-09-13 00:00:00,147904.16,147904.16,147904.16,147904.16,KRW
2013-09-14 00:00:00,147904.16,147904.16,147904.16,147904.16,KRW
2013-09-15 00:00:00,147904.16,147904.16,147904.16,147904.16,KRW
2013-09-16 00:00:00,147904.16,147904.16,147904.16,147904.16,KRW
2013-09-17 00:00:00,147904.16,147904.16,128649.08,128649.08,KRW
2013-09-18 00:00:00,128649.08,128649.08,128649.08,128649.08,KRW
2013-09-19 00:00:00,128649.08,143707.95,128649.08,143707.95,KRW
2013-09-20 00:00:00,143707.95,143707.95,140185.83,140185.83,KRW
2013-09-21 00:00:00,140185.83,140185.83,140185.83,140185.83,KRW
