ts,o,h,l,c,fiat
2011-09-02 00:00:00,23.78,24.34,23.78,24.34,PLN
2011-09-03 00:00:00,24.34,24.34,24.34,24.34,PLN
2011-09-04 00:00:00,24.34,24.34,23.59,23.59,PLN
2011-09-05 00:00:00,23.59,23.81,21.35,22.72,PLN
2011-09-06 00:00:00,22.72,22.72,18.0,20.49,PLN
2011-09-07 00:00:00,20.49,22.77,20.06,21.49,PLN
2011-09-08 00:00:00,21.49,21.49,19.74,20.0,PLN
2011-09-09 00:00:00,20.0,20.0,12.81,15.76,PLN
2011-09-10 00:00:00,15.76,16.5,15.21,15.21,PLN
2011-09-11 00:00:00,15.21,22.0,14.48,15.53,PLN
2011-09-12 00:00:00,15.53,20.0,15.53,17.5,PLN
2011-09-13 00:00:00,17.5,19.1,17.5,18.59,PLN
2011-09-14 00:00:00,18.59,18.59,16.91,18.0,PLN
2011-09-15 00:00:00,18.0,18.0,14.5,15.0,PLN
2011-09-16 00:00:00,15.0,15.69,14.78,14.87,PLN
2011-09-17 00:00:00,14.87,15.49,14.7,15.19,PLN
2011-09-18 00:00:00,15.19,17.2,14.99,16.79,PLN
2011-09-19 00:00:00,16.79,17.78,15.37,17.0,PLN
2011-09-20 00:00:00,17.0,21.1,17.0,19.4,PLN
2011-09-21 00:00:00,19.4,19.55,16.65,17.96,PLN
2011-09-22 00:00:00,17.96,18.39,17.5,17.5,PLN
2011-09-23 00:00:00,17.5,18.6,17.5,18.5,PLN
2011-09-24 00:00:00,18.5,18.5,18.0,18.0,PLN
2011-09-25 00:00:00,18.0,18.5,17.64,17.8,PLN
2011-09-26 00:00:00,17.8,18.0,16.1,16.5,PLN
2011-09-27 00:00:00,16.5,16.5,16.0,16.25,PLN
2011-09-28 00:00:00,16.25,16.37,15.2,15.77,PLN
2011-09-29 00:00:00,15.77,15.77,15.4,15.5,PLN
2011-09-30 00:00:00,15.5,17.0,15.5,16.25,PLN
2011-10-01 00:00:00,16.25,16.8,15.9,16.8,PLN
2011-10-02 00:00:00,16.8,16.8,16.03,16.12,PLN
2011-10-03 00:00:00,16.12,16.58,15.9,16.1,PLN
2011-10-04 00:00:00,16.1,16.5,16.1,16.13,PLN
2011-10-05 00:00:00,16.13,16.5,15.95,16.02,PLN
2011-10-06 00:00:00,16.02,16.02,15.42,15.58,PLN
2011-10-07 00:00:00,15.58,15.58,13.0,14.64,PLN
2011-10-08 00:00:00,14.64,14.64,12.43,13.32,PLN
2011-10-09 00:00:00,13.32,13.9,13.05,13.76,PLN
2011-10-10 00:00:00,13.76,14.02,12.98,13.73,PLN
2011-10-11 00:00:00,13.73,13.73,12.3,12.73,PLN
2011-10-12 00:00:00,12.73,13.5,12.44,13.0,PLN
2011-10-13 00:00:00,13.0,13.04,12.7,12.74,PLN
2011-10-14 00:00:00,12.74,13.1,12.55,12.6,PLN
2011-10-15 00:00:00,12.6,12.89,11.82,11.82,PLN
2011-10-16 00:00:00,11.82,11.9,10.9,10.9,PLN
2011-10-17 00:00:00,10.9,11.4,7.069,7.857,PLN
2011-10-18 00:00:00,7.857,8.94,7.757,7.8,PLN
2011-10-19 00:00:00,7.8,7.858,6.516,6.819,PLN
2011-10-20 00:00:00,6.819,7.42,6.819,7.3,PLN
2011-10-21 00:00:00,7.3,8.241,7.3,8.2,PLN
2011-10-22 00:00:00,8.2,10.5,8.159,10.0,PLN
2011-10-23 00:00:00,10.0,10.19,9.5,10.19,PLN
2011-10-24 00:00:00,10.19,10.19,8.1,8.295,PLN
2011-10-25 00:00:00,8.295,9.179,8.0,8.566,PLN
2011-10-26 00:00:00,8.566,9.037,8.352,8.882,PLN
2011-10-27 00:00:00,8.882,9.466,8.55,9.169,PLN
2011-10-28 00:00:00,9.169,10.0,9.0,9.969,PLN
2011-10-29 00:00:00,9.969,11.5,9.94,10.86,PLN
2011-10-30 00:00:00,10.86,11.31,9.539,10.24,PLN
2011-10-31 00:00:00,10.24,10.24,9.45,9.976,PLN
2011-11-01 00:00:00,9.976,10.49,9.6,9.664,PLN
2011-11-02 00:00:00,9.664,10.95,9.664,10.8,PLN
2011-11-03 00:00:00,10.8,10.8,9.937,10.19,PLN
2011-11-04 00:00:00,10.19,10.19,9.5,10.16,PLN
2011-11-05 00:00:00,10.16,10.16,9.006,9.688,PLN
2011-11-06 00:00:00,9.688,9.688,9.148,9.31,PLN
2011-11-07 00:00:00,9.31,9.602,9.31,9.425,PLN
2011-11-08 00:00:00,9.425,9.9,9.425,9.604,PLN
2011-11-09 00:00:00,9.604,9.79,9.176,9.45,PLN
2011-11-10 00:00:00,9.45,9.751,9.12,9.12,PLN
2011-11-11 00:00:00,9.12,9.9,9.12,9.9,PLN
2011-11-12 00:00:00,9.9,9.9,9.519,9.543,PLN
2011-11-13 00:00:00,9.543,9.696,9.335,9.471,PLN
2011-11-14 00:00:00,9.471,9.7,6.98,6.98,PLN
2011-11-15 00:00:00,6.98,7.785,6.98,7.682,PLN
2011-11-16 00:00:00,7.682,8.36,7.444,8.36,PLN
2011-11-17 00:00:00,8.36,8.36,6.731,7.741,PLN
2011-11-18 00:00:00,7.741,7.741,6.75,6.75,PLN
2011-11-19 00:00:00,6.75,7.3,6.75,7.01,PLN
2011-11-20 00:00:00,7.01,7.913,7.01,7.3,PLN
2011-11-21 00:00:00,7.3,7.502,7.2,7.5,PLN
2011-11-22 00:00:00,7.5,7.7,7.419,7.68,PLN
2011-11-23 00:00:00,7.68,7.957,7.523,7.876,PLN
2011-11-24 00:00:00,7.876,8.182,7.548,8.121,PLN
2011-11-25 00:00:00,8.121,8.4,7.93,8.21,PLN
2011-11-26 00:00:00,8.21,8.5,8.2,8.4,PLN
2011-11-27 00:00:00,8.4,8.45,8.2,8.23,PLN
2011-11-28 00:00:00,8.23,8.6,8.201,8.412,PLN
2011-11-29 00:00:00,8.412,10.05,8.412,9.109,PLN
2011-11-30 00:00:00,9.109,10.32,9.109,9.782,PLN
2011-12-01 00:00:00,9.782,10.5,9.782,10.2,PLN
2011-12-02 00:00:00,10.2,10.5,10.02,10.28,PLN
2011-12-03 00:00:00,10.28,10.52,8.999,8.999,PLN
2011-12-04 00:00:00,8.999,9.43,8.623,9.235,PLN
2011-12-05 00:00:00,9.235,9.75,9.204,9.356,PLN
2011-12-06 00:00:00,9.356,10.22,9.356,9.8,PLN
2011-12-07 00:00:00,9.8,10.0,9.753,9.753,PLN
2011-12-08 00:00:00,9.753,10.0,9.65,9.988,PLN
2011-12-09 00:00:00,9.988,10.1,9.795,9.795,PLN
2011-12-10 00:00:00,9.795,10.3,9.783,10.3,PLN
2011-12-11 00:00:00,10.3,11.3,10.26,11.15,PLN
2011-12-12 00:00:00,11.15,11.2,10.3,10.96,PLN
2011-12-13 00:00:00,10.96,11.25,10.71,11.0,PLN
2011-12-14 00:00:00,11.0,11.32,10.59,11.19,PLN
2011-12-15 00:00:00,11.19,11.3,10.9,11.0,PLN
2011-12-16 00:00:00,11.0,11.3,10.9,10.9,PLN
2011-12-17 00:00:00,10.9,11.29,10.9,10.9,PLN
2011-12-18 00:00:00,10.9,10.95,10.69,10.77,PLN
2011-12-19 00:00:00,10.77,12.61,10.77,12.01,PLN
2011-12-20 00:00:00,12.01,15.0,12.01,13.52,PLN
2011-12-21 00:00:00,13.52,14.0,13.28,13.44,PLN
2011-12-22 00:00:00,13.44,13.68,12.3,13.0,PLN
2011-12-23 00:00:00,13.0,13.7,12.82,13.6,PLN
