ts,o,h,l,c,fiat
2011-09-11 00:00:00,141.08,141.08,88.43,133.81,RUB
2011-09-12 00:00:00,133.81,133.81,133.81,133.81,RUB
2011-09-13 00:00:00,133.81,133.81,133.81,133.81,RUB
2011-09-14 00:00:00,133.81,133.81,133.81,133.81,RUB
2011-09-15 00:00:00,133.81,133.81,133.81,133.81,RUB
2011-09-16 00:00:00,133.81,133.81,133.81,133.81,RUB
2011-09-17 00:00:00,133.81,133.81,133.81,133.81,RUB
2011-09-18 00:00:00,133.81,152.0,133.81,152.0,RUB
2011-09-19 00:00:00,152.0,164.35,152.0,164.35,RUB
2011-09-20 00:00:00,164.35,215.23,164.35,180.56,RUB
2011-09-21 00:00:00,180.56,192.04,175.1,175.1,RUB
2011-09-22 00:00:00,175.1,175.5,175.1,175.5,RUB
2011-09-23 00:00:00,175.5,175.5,175.5,175.5,RUB
2011-09-24 00:00:00,175.5,175.5,175.5,175.5,RUB
2011-09-25 00:00:00,175.5,175.5,175.5,175.5,RUB
2011-09-26 00:00:00,175.5,175.5,170.06,170.06,RUB
2011-09-27 00:00:00,170.06,170.06,165.86,165.86,RUB
2011-09-28 00:00:00,165.86,165.86,158.63,158.63,RUB
2011-09-29 00:00:00,158.63,158.63,158.63,158.63,RUB
2011-09-30 00:00:00,158.63,158.63,158.63,158.63,RUB
2011-10-01 00:00:00,158.63,158.63,158.63,158.63,RUB
2011-10-02 00:00:00,158.63,158.63,158.63,158.63,RUB
2011-10-03 00:00:00,158.63,158.63,158.63,158.63,RUB
2011-10-04 00:00:00,158.63,158.63,158.63,158.63,RUB
2011-10-05 00:00:00,158.63,158.63,158.63,158.63,RUB
2011-10-06 00:00:00,158.63,158.63,158.63,158.63,RUB
2011-10-07 00:00:00,158.63,158.63,126.87,126.89,RUB
2011-10-08 00:00:00,126.89,126.89,126.89,126.89,RUB
2011-10-09 00:00:00,126.89,126.89,126.89,126.89,RUB
2011-10-10 00:00:00,126.89,126.89,126.89,126.89,RUB
2011-10-11 00:00:00,126.89,127.41,126.89,127.41,RUB
2011-10-12 00:00:00,127.41,127.41,127.41,127.41,RUB
2011-10-13 00:00:00,127.41,127.41,127.41,127.41,RUB
2011-10-14 00:00:00,127.41,127.41,127.41,127.41,RUB
2011-10-15 00:00:00,127.41,127.41,127.41,127.41,RUB
2011-10-16 00:00:00,127.41,127.41,109.5,112.6,RUB
2011-10-17 00:00:00,112.6,114.8,112.6,114.8,RUB
2011-10-18 00:00:00,114.8,114.8,84.23,84.23,RUB
2011-10-19 00:00:00,84.23,84.23,73.95,73.95,RUB
2011-10-20 00:00:00,73.95,73.95,73.95,73.95,RUB
2011-10-21 00:00:00,73.95,78.18,73.95,78.18,RUB
2011-10-22 00:00:00,78.18,101.96,78.18,101.96,RUB
2011-10-23 00:00:00,101.96,101.96,95.0,95.0,RUB
2011-10-24 00:00:00,95.0,97.0,95.0,95.0,RUB
2011-10-25 00:00:00,95.0,95.0,95.0,95.0,RUB
2011-10-26 00:00:00,95.0,95.0,95.0,95.0,RUB
2011-10-27 00:00:00,95.0,95.0,95.0,95.0,RUB
2011-10-28 00:00:00,95.0,95.0,95.0,95.0,RUB
2011-10-29 00:00:00,95.0,95.0,95.0,95.0,RUB
2011-10-30 00:00:00,95.0,95.0,95.0,95.0,RUB
2011-10-31 00:00:00,95.0,95.0,95.0,95.0,RUB
2011-11-01 00:00:00,95.0,95.0,94.29,94.29,RUB
2011-11-02 00:00:00,94.29,94.29,94.29,94.29,RUB
2011-11-03 00:00:00,94.29,94.29,94.29,94.29,RUB
2011-11-04 00:00:00,94.29,94.29,94.29,94.29,RUB
2011-11-05 00:00:00,94.29,94.29,94.29,94.29,RUB
2011-11-06 00:00:00,94.29,94.29,92.5,92.5,RUB
2011-11-07 00:00:00,92.5,92.5,92.5,92.5,RUB
2011-11-08 00:00:00,92.5,92.5,92.5,92.5,RUB
2011-11-09 00:00:00,92.5,92.53,91.9,92.53,RUB
2011-11-10 00:00:00,92.53,92.53,92.53,92.53,RUB
2011-11-11 00:00:00,92.53,92.53,92.53,92.53,RUB
2011-11-12 00:00:00,92.53,92.53,92.53,92.53,RUB
2011-11-13 00:00:00,92.53,92.53,92.53,92.53,RUB
2011-11-14 00:00:00,92.53,92.53,71.0,71.0,RUB
2011-11-15 00:00:00,71.0,71.0,71.0,71.0,RUB
2011-11-16 00:00:00,71.0,71.0,71.0,71.0,RUB
2011-11-17 00:00:00,71.0,71.0,71.0,71.0,RUB
