ts,o,h,l,c,fiat
2011-09-18 00:00:00,5.846,5.846,5.846,5.846,SGD
2011-09-19 00:00:00,5.846,5.846,5.846,5.846,SGD
2011-09-20 00:00:00,5.846,5.846,5.846,5.846,SGD
2011-09-21 00:00:00,5.846,5.846,5.846,5.846,SGD
2011-09-22 00:00:00,5.846,5.846,5.846,5.846,SGD
2011-09-23 00:00:00,5.846,5.846,5.846,5.846,SGD
2011-09-24 00:00:00,5.846,5.846,5.846,5.846,SGD
2011-09-25 00:00:00,5.846,5.846,5.846,5.846,SGD
2011-09-26 00:00:00,5.846,5.846,5.846,5.846,SGD
2011-09-27 00:00:00,5.846,5.846,5.846,5.846,SGD
2011-09-28 00:00:00,5.846,5.846,5.846,5.846,SGD
2011-09-29 00:00:00,5.846,5.846,5.846,5.846,SGD
2011-09-30 00:00:00,5.846,6.577,5.846,6.577,SGD
2011-10-01 00:00:00,6.577,6.577,6.577,6.577,SGD
2011-10-02 00:00:00,6.577,6.577,6.577,6.577,SGD
2011-10-03 00:00:00,6.577,6.577,6.577,6.577,SGD
2011-10-04 00:00:00,6.577,6.577,6.577,6.577,SGD
2011-10-05 00:00:00,6.577,6.577,6.577,6.577,SGD
2011-10-06 00:00:00,6.577,6.577,6.4,6.4,SGD
2011-10-07 00:00:00,6.4,6.4,6.4,6.4,SGD
2011-10-08 00:00:00,6.4,6.4,6.4,6.4,SGD
2011-10-09 00:00:00,6.4,6.4,5.178,5.178,SGD
2011-10-10 00:00:00,5.178,5.178,5.178,5.178,SGD
2011-10-11 00:00:00,5.178,5.178,5.178,5.178,SGD
2011-10-12 00:00:00,5.178,5.178,5.178,5.178,SGD
2011-10-13 00:00:00,5.178,5.221,5.178,5.221,SGD
2011-10-14 00:00:00,5.221,5.221,5.221,5.221,SGD
2011-10-15 00:00:00,5.221,5.221,5.114,5.114,SGD
2011-10-16 00:00:00,5.114,5.114,5.114,5.114,SGD
2011-10-17 00:00:00,5.114,5.114,3.0,3.0,SGD
2011-10-18 00:00:00,3.0,3.466,3.0,3.466,SGD
2011-10-19 00:00:00,3.466,3.466,3.466,3.466,SGD
2011-10-20 00:00:00,3.466,3.466,3.466,3.466,SGD
2011-10-21 00:00:00,3.466,3.466,3.466,3.466,SGD
2011-10-22 00:00:00,3.466,3.466,3.466,3.466,SGD
2011-10-23 00:00:00,3.466,3.466,3.466,3.466,SGD
2011-10-24 00:00:00,3.466,3.466,3.466,3.466,SGD
2011-10-25 00:00:00,3.466,3.466,3.466,3.466,SGD
2011-10-26 00:00:00,3.466,3.466,3.466,3.466,SGD
2011-10-27 00:00:00,3.466,3.466,3.466,3.466,SGD
