ts,o,h,l,c,fiat
2013-08-21 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-08-22 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-08-23 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-08-24 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-08-25 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-08-26 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-08-27 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-08-28 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-08-29 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-08-30 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-08-31 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-01 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-02 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-03 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-04 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-05 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-06 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-07 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-08 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-09 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-10 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-11 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-12 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-13 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-14 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-15 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-16 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-17 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-18 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-19 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-20 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-21 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-22 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-23 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-24 00:00:00,955.72,955.72,955.72,955.72,UAH
2013-09-25 00:00:00,955.72,970.33,955.72,970.33,UAH
2013-09-26 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-09-27 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-09-28 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-09-29 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-09-30 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-01 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-02 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-03 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-04 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-05 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-06 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-07 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-08 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-09 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-10 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-11 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-12 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-13 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-14 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-15 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-16 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-17 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-18 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-19 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-20 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-21 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-22 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-23 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-24 00:00:00,970.33,970.33,970.33,970.33,UAH
2013-10-25 00:00:00,970.33,970.33,970.33,970.33,UAH
