ts,o,h,l,c,fiat
2010-07-17 00:00:00,0.04951,0.04951,0.04951,0.04951,USD
2010-07-18 00:00:00,0.04951,0.08585,0.04951,0.08584,USD
2010-07-19 00:00:00,0.08584,0.09307,0.07723,0.0808,USD
2010-07-20 00:00:00,0.0808,0.08181,0.07426,0.07474,USD
2010-07-21 00:00:00,0.07474,0.07921,0.06634,0.07921,USD
2010-07-22 00:00:00,0.07921,0.08181,0.0505,0.05842,USD
2010-07-23 00:00:00,0.05842,0.06767,0.0505,0.06262,USD
2010-07-24 00:00:00,0.06262,0.06262,0.05049,0.05454,USD
2010-07-25 00:00:00,0.05454,0.05941,0.0505,0.0505,USD
2010-07-26 00:00:00,0.0505,0.056,0.05,0.056,USD
2010-07-27 00:00:00,0.056,0.0605,0.053,0.06,USD
2010-07-28 00:00:00,0.06,0.062,0.054,0.0589,USD
2010-07-29 00:00:00,0.0589,0.0699,0.0571,0.0699,USD
2010-07-30 00:00:00,0.0699,0.0699,0.0582,0.0627,USD
2010-07-31 00:00:00,0.0627,0.06889,0.056,0.06785,USD
2010-08-01 00:00:00,0.06785,0.06785,0.06,0.0611,USD
2010-08-02 00:00:00,0.0611,0.0633,0.06,0.0611,USD
2010-08-03 00:00:00,0.0611,0.065,0.059,0.06,USD
2010-08-04 00:00:00,0.06,0.06231,0.057,0.057,USD
2010-08-05 00:00:00,0.057,0.061,0.057,0.061,USD
2010-08-06 00:00:00,0.061,0.0624,0.0607,0.0623,USD
2010-08-07 00:00:00,0.0623,0.0623,0.059,0.059,USD
2010-08-08 00:00:00,0.059,0.061,0.059,0.0609,USD
2010-08-09 00:00:00,0.0609,0.0735,0.0593,0.071,USD
2010-08-10 00:00:00,0.071,0.071,0.06651,0.07,USD
2010-08-11 00:00:00,0.07,0.07541,0.06,0.067,USD
2010-08-12 00:00:00,0.067,0.07,0.06141,0.07,USD
2010-08-13 00:00:00,0.07,0.07,0.0645,0.0645,USD
2010-08-14 00:00:00,0.0645,0.0695,0.0645,0.067,USD
2010-08-15 00:00:00,0.067,0.067,0.065,0.06529,USD
2010-08-16 00:00:00,0.06529,0.0679,0.062,0.0655,USD
2010-08-17 00:00:00,0.0655,0.0769,0.06243,0.07,USD
2010-08-18 00:00:00,0.07,0.0733,0.067,0.068,USD
2010-08-19 00:00:00,0.068,0.068,0.0667,0.0667,USD
2010-08-20 00:00:00,0.0667,0.0667,0.065,0.0655,USD
2010-08-21 00:00:00,0.0655,0.0669,0.0644,0.0664,USD
2010-08-22 00:00:00,0.0664,0.0664,0.0612,0.066,USD
2010-08-23 00:00:00,0.066,0.06689,0.063,0.06491,USD
2010-08-24 00:00:00,0.06491,0.0665,0.06491,0.065,USD
2010-08-25 00:00:00,0.065,0.0665,0.0641,0.0648,USD
2010-08-26 00:00:00,0.0648,0.0658,0.064,0.064,USD
2010-08-27 00:00:00,0.064,0.065,0.063,0.065,USD
2010-08-28 00:00:00,0.065,0.065,0.0641,0.0646,USD
2010-08-29 00:00:00,0.0646,0.0648,0.064,0.064,USD
2010-08-30 00:00:00,0.064,0.069,0.03211,0.06497,USD
2010-08-31 00:00:00,0.06497,0.06497,0.06,0.06,USD
2010-09-01 00:00:00,0.06,0.0629,0.05961,0.0629,USD
2010-09-02 00:00:00,0.0629,0.0634,0.0601,0.0634,USD
2010-09-03 00:00:00,0.0634,0.0634,0.06085,0.06085,USD
2010-09-04 00:00:00,0.06085,0.06238,0.06085,0.06238,USD
2010-09-05 00:00:00,0.06238,0.064,0.0605,0.06165,USD
2010-09-06 00:00:00,0.06165,0.0627,0.0616,0.0616,USD
2010-09-07 00:00:00,0.0616,0.06201,0.0603,0.06101,USD
2010-09-08 00:00:00,0.06101,0.062,0.06099,0.062,USD
2010-09-09 00:00:00,0.062,0.0624,0.06109,0.06111,USD
