ts,o,h,l,c,fiat
2013-04-13 00:00:00,600.0,600.0,600.0,600.0,ZAR
2013-04-14 00:00:00,600.0,1200.0,600.0,1100.0,ZAR
2013-04-15 00:00:00,1100.0,1100.0,900.0,900.0,ZAR
2013-04-16 00:00:00,900.0,900.0,700.0,700.0,ZAR
2013-04-17 00:00:00,700.0,950.0,700.0,950.0,ZAR
2013-04-18 00:00:00,950.0,1050.0,920.0,1050.0,ZAR
2013-04-19 00:00:00,1050.0,1400.0,1050.0,1250.0,ZAR
2013-04-20 00:00:00,1250.0,1350.0,1150.0,1350.0,ZAR
2013-04-21 00:00:00,1350.0,1350.0,1200.0,1250.0,ZAR
2013-04-22 00:00:00,1250.0,1300.0,1200.0,1200.0,ZAR
2013-04-23 00:00:00,1200.0,1400.0,1180.0,1360.0,ZAR
2013-04-24 00:00:00,1360.0,1600.0,1360.0,1574.0,ZAR
2013-04-25 00:00:00,1574.0,1750.0,1520.0,1520.0,ZAR
2013-04-26 00:00:00,1520.0,1600.0,1270.0,1600.0,ZAR
2013-04-27 00:00:00,1600.0,1600.0,1350.0,1550.0,ZAR
2013-04-28 00:00:00,1550.0,1600.0,1400.0,1400.0,ZAR
2013-04-29 00:00:00,1400.0,1525.0,1325.0,1450.0,ZAR
2013-04-30 00:00:00,1450.0,1550.0,1350.0,1400.0,ZAR
2013-05-01 00:00:00,1400.0,1450.0,1350.0,1400.0,ZAR
2013-05-02 00:00:00,1400.0,1400.0,1130.0,1130.0,ZAR
2013-05-03 00:00:00,1130.0,1150.0,853.0,1000.0,ZAR
2013-05-04 00:00:00,1000.0,1200.0,1000.0,1200.0,ZAR
2013-05-05 00:00:00,1200.0,1200.0,1050.0,1200.0,ZAR
2013-05-06 00:00:00,1200.0,1366.0,1000.0,1350.0,ZAR
2013-05-07 00:00:00,1350.0,1350.0,1100.0,1200.0,ZAR
2013-05-08 00:00:00,1200.0,1200.0,1100.0,1200.0,ZAR
2013-05-09 00:00:00,1200.0,1200.0,1000.0,1150.0,ZAR
2013-05-10 00:00:00,1150.0,1250.0,1150.0,1250.0,ZAR
